"ARM","Visit","N","Mean","SD","SE","CI_Low","CI_High"
"Darbepoetin Alfa",-2,11,12.25,0.97,0.293,11.68,12.82
"Darbepoetin Alfa",-1,248,11.96,0.92,0.058,11.85,12.07
"Darbepoetin Alfa",1,244,12.02,1.11,0.071,11.88,12.16
"Darbepoetin Alfa",2,228,11.96,1.48,0.098,11.77,12.15
"Darbepoetin Alfa",3,270,12.08,1.54,0.094,11.9,12.26
"Darbepoetin Alfa",4,196,12.34,1.66,0.118,12.11,12.57
"Darbepoetin Alfa",5,212,12.35,1.77,0.122,12.11,12.59
"Darbepoetin Alfa",6,245,12.08,1.74,0.111,11.86,12.3
"Darbepoetin Alfa",7,200,12.42,1.67,0.118,12.19,12.65
"Darbepoetin Alfa",8,190,12.23,1.61,0.117,12,12.46
"Darbepoetin Alfa",9,210,11.96,1.54,0.106,11.75,12.17
"Darbepoetin Alfa",10,189,12.12,1.55,0.113,11.9,12.34
"Darbepoetin Alfa",11,186,11.87,1.46,0.107,11.66,12.08
"Darbepoetin Alfa",12,194,11.58,1.57,0.113,11.36,11.8
"Darbepoetin Alfa",13,173,11.8,1.52,0.116,11.57,12.03
"Darbepoetin Alfa",14,168,11.68,1.47,0.113,11.46,11.9
"Darbepoetin Alfa",15,182,11.31,1.63,0.121,11.07,11.55
"Darbepoetin Alfa",16,160,11.41,1.57,0.124,11.17,11.65
"Darbepoetin Alfa",17,156,11.25,1.47,0.117,11.02,11.48
"Darbepoetin Alfa",18,155,11.04,1.62,0.13,10.79,11.29
"Darbepoetin Alfa",19,153,11.1,1.66,0.134,10.84,11.36
"Darbepoetin Alfa",20,126,11.22,1.6,0.142,10.94,11.5
"Darbepoetin Alfa",21,109,11.51,1.39,0.133,11.25,11.77
"Darbepoetin Alfa",22,102,12.02,1.39,0.138,11.75,12.29
"Darbepoetin Alfa",23,97,11.94,1.33,0.135,11.68,12.2
"Darbepoetin Alfa",24,73,12.18,1.36,0.159,11.87,12.49
"Darbepoetin Alfa",25,44,12.09,1.35,0.204,11.69,12.49
"Darbepoetin Alfa",26,29,12.11,1.37,0.255,11.61,12.61
"Darbepoetin Alfa",27,15,12.13,1.77,0.457,11.23,13.03
"Darbepoetin Alfa",28,11,12.62,1.01,0.304,12.02,13.22
"Darbepoetin Alfa",29,10,12.03,1.59,0.503,11.04,13.02
"Placebo",-2,12,12.26,0.66,0.189,11.89,12.63
"Placebo",-1,244,11.8,1,0.064,11.67,11.93
"Placebo",1,239,11.77,1.1,0.071,11.63,11.91
"Placebo",2,231,11.67,1.42,0.093,11.49,11.85
"Placebo",3,269,11.2,1.46,0.089,11.03,11.37
"Placebo",4,190,11.31,1.43,0.104,11.11,11.51
"Placebo",5,213,11.12,1.41,0.096,10.93,11.31
"Placebo",6,226,10.72,1.36,0.09,10.54,10.9
"Placebo",7,191,10.86,1.32,0.096,10.67,11.05
"Placebo",8,191,10.75,1.38,0.1,10.55,10.95
"Placebo",9,208,10.39,1.36,0.094,10.21,10.57
"Placebo",10,176,10.43,1.41,0.106,10.22,10.64
"Placebo",11,195,10.41,1.38,0.098,10.22,10.6
"Placebo",12,196,10.12,1.38,0.099,9.93,10.31
"Placebo",13,179,10.22,1.46,0.109,10.01,10.43
"Placebo",14,170,10.23,1.38,0.106,10.02,10.44
"Placebo",15,173,9.95,1.35,0.103,9.75,10.15
"Placebo",16,167,10.23,1.37,0.106,10.02,10.44
"Placebo",17,159,10.14,1.34,0.106,9.93,10.35
"Placebo",18,158,9.92,1.38,0.11,9.7,10.14
"Placebo",19,150,10.13,1.36,0.111,9.91,10.35
"Placebo",20,124,10.51,1.43,0.128,10.26,10.76
"Placebo",21,107,10.65,1.41,0.137,10.38,10.92
"Placebo",22,103,10.9,1.31,0.129,10.65,11.15
"Placebo",23,86,11.11,1.44,0.155,10.81,11.41
"Placebo",24,75,11.1,1.37,0.158,10.79,11.41
"Placebo",25,41,11.51,1.34,0.21,11.1,11.92
"Placebo",26,16,11.79,1.3,0.326,11.15,12.43
"Placebo",27,13,11.42,1.25,0.346,10.74,12.1
"Placebo",28,10,11.07,1.65,0.522,10.05,12.09
"Placebo",29,8,11.82,1.46,0.516,10.81,12.83
